Designator,Mid X,Mid Y,Rotation,Layer
C101,46.56,-147.29,0.0,top
C102,138.49,-60.34,0.0,top
C103,138.49,-64.59,0.0,top
C104,46.56,-149.69,0.0,top
C105,46.56,-152.09,0.0,top
C106,46.56,-154.49,0.0,top
C107,46.56,-156.89,0.0,top
C108,46.56,-159.29,0.0,top
C109,50.36,-147.29,0.0,top
C110,50.36,-149.69,0.0,top
C111,50.36,-152.09,0.0,top
C112,50.36,-154.49,0.0,top
C113,50.36,-156.89,0.0,top
C201,126.57,-118.76,0.0,top
C202,126.57,-121.96,0.0,top
C203,126.57,-125.16,0.0,top
C204,126.57,-128.36,0.0,top
C205,125.27,-103.96,0.0,top
C206,125.27,-106.36,0.0,top
C207,125.27,-108.76,0.0,top
C208,125.27,-111.16,0.0,top
C209,125.27,-113.56,0.0,top
C210,125.27,-115.96,0.0,top
C211,149.545,-104.885,0.0,top
C212,149.545,-109.135,0.0,top
C213,129.07,-103.96,0.0,top
C214,126.57,-131.56,0.0,top
C215,129.07,-106.36,0.0,top
C216,129.07,-108.76,0.0,top
C217,129.07,-111.16,0.0,top
C218,126.57,-134.76,0.0,top
C219,129.07,-113.56,0.0,top
D101,47.51,-162.265,0.0,top
D102,161.65,-106.07,0.0,top
D103,161.65,-112.69,0.0,top
D104,148.2745,-92.596,0.0,top
D105,133.2775,-159.652,0.0,top
D106,161.65,-119.31,0.0,top
D201,152.62,-118.935,0.0,top
D202,150.79,-113.535,0.0,top
D203,147.32,-118.61,0.0,top
D204,147.32,-121.51,0.0,top
D205,147.32,-124.41,0.0,top
D206,147.32,-127.31,0.0,top
J101,57.2625,-115.02,0.0,top
J102,58.734,-131.363,0.0,top
J103,156.1485,-86.5,0.0,top
J104,140.8975,-155.08,0.0,top
J105,50.84,-66.385,0.0,top
J106,44.236,-77.307,0.0,top
J201,87.69,-82.37,270.0,top
J202,89.91,-168.115,0.0,top
J203,90.01,-159.89,0.0,top
J204,94.86,-143.915,0.0,top
J205,101.68,-82.37,270.0,top
J206,90.71,-152.015,0.0,top
J207,73.72,-82.37,270.0,top
J208,115.63,-82.37,270.0,top
L201,134.47,-129.085,0.0,top
L202,151.57,-122.26,0.0,top
Q101,168.305,-109.78,180.0,top
Q201,66.1,-69.67,90.0,top
Q202,108.01,-69.67,90.0,top
Q203,76.26,-69.67,90.0,top
Q204,113.09,-69.67,90.0,top
Q205,71.18,-69.67,90.0,top
Q206,118.17,-69.67,90.0,top
Q207,81.34,-69.67,90.0,top
Q208,123.25,-69.67,90.0,top
R101,41.039,-91.279,0.0,top
R102,55.374,-140.514,0.0,top
R103,45.41,-125.09,180.0,top
R104,45.31,-119.79,180.0,top
R105,45.01,-110.99,180.0,top
R106,45.51,-123.39,180.0,top
R107,30.81,-150.09,0.0,top
R108,57.974,-143.614,0.0,top
R109,39.389,-84.179,0.0,top
R110,28.36,-142.69,0.0,top
R111,28.26,-139.29,0.0,top
R112,148.0205,-89.294,0.0,top
R113,132.2615,-157.112,0.0,top
R201,129.07,-115.96,0.0,top
R202,132.87,-103.96,0.0,top
R203,132.87,-106.36,0.0,top
R204,132.87,-108.76,0.0,top
R205,132.87,-111.16,0.0,top
R206,132.87,-113.56,0.0,top
R207,132.87,-115.96,0.0,top
R208,136.67,-103.96,0.0,top
R209,136.67,-106.36,0.0,top
R210,136.67,-108.76,0.0,top
R211,136.67,-111.16,0.0,top
SW201,137.32,-121.21,0.0,top
U101,29.51,-115.39,0.0,top
U102,168.435,-105.16,180.0,top
U103,28.508,-79.83,270.0,top
U104,147.5125,-86.5,180.0,top
U105,133.2775,-153.81,180.0,top
U201,149.095,-132.115,0.0,top
U202,144.145,-105.16,180.0,top
U203,144.145,-109.785,180.0,top
U204,82.81,-177.79,270.0,top
